Progress,Duration (in seconds),Finished,LocationLatitude,LocationLongitude,UserLanguage,Q_RecaptchaScore,Informed Consent ,Gender,Gender_4_TEXT,Age,Ethnicity,Hispanic or Latino,Education,Employment,Income,Residency-State,Residency-Community,Residency-Community_4_TEXT,Current Status,Current Status_4_TEXT,Social Media,Social Media_10_TEXT,Political Ideology _1,Party Affiliation _1,Voting,Criminal Record,Criminal Record_3_TEXT,Q127_First Click,Q127_Last Click,Q127_Page Submit,Q127_Click Count,G1-Pew-ABRTLGL,G1-Pew-ABRTN_MED,G1-Pew-ABORTION3,G1-Pew-ABORTION4,G2-ImmigrationPop,G2-ImmigrationPolicy,G2-ImmPolicyImpact,Q128_First Click,Q128_Last Click,Q128_Page Submit,Q128_Click Count,G2-DV1,G2-DV2,G2-DV3-6_1,G2-DV3-6_2,G2-DV3-6_3,G2-DV3-6_4,Q129_First Click,Q129_Last Click,Q129_Page Submit,Q129_Click Count,G3-Express,G3-Backlash,Q130_First Click,Q130_Last Click,Q130_Page Submit,Q130_Click Count,G4-Fair,G4-Trust,G4-Decision,G5-PreT-USCourtTrust,G5-PreT-IOTrust,G5-PreT-IOparticipat,G5-PreT-InterCase,G5-PreT-ICCfimiliar,Q131_First Click,Q131_Last Click,Q131_Page Submit,Q131_Click Count,G5-PostT-Relaible,G5-PostT-Fair,G5-PostT-Effective,G5-PostT-Political,Manipulation Check,Manipulation Check_DO,rid,zip,Create New Field or Choose From Dropdown...,Group1-Abortion_DO,Group2-Immigration-PostT_DO,Group3-Speech_DO,Group4-SCOTUS_DO,Group5-ICC-PostT_DO
100,303,TRUE,39.997,-105.0974,EN,1,Yes,Female,,1956,White,Not Hispanic or Latino,Bachelor’s degree,Working full-time,"$50,000-$74,999",Colorado,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Youtube,,Somewhat Liberal,Democrat,Democratic candidate,No,,3.888,27.295,30.867,5,Illegal in most cases,Not sure,Somewhat difficult,About what it is now,A moderate population,Neither adequate nor inadequate,Extremely impacted,5.3,28.492,32.238,8,Increased,Somewhat more dangerous,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,9.001,30.367,30.936,8,5,3,31.002,40.302,41.423,4,10-Most Fair,8,No,A moderate amount,Some,Extremely important,Unsure,Never heard of it,4.116,26.427,31.829,8,Neutral,Neutral,Neutral,Neutral,AI application in campaign finance,AI application in campaign finance|Immigration policy and law enforcement|Expressing opinions on a political issue|A case decided by the U.S. Supreme Court,68110d06-435a-b11a-dbe9-74f22fa2d97f,80234,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Friends|G3-Express|G3-Backlash|Q129,G4-8L1C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T3|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
100,301,TRUE,37.751,-97.822,EN,0.800000012,Yes,Male,,1985,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working full-time,"Less than $25,000",Oklahoma,Urban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Youtube,,Very Liberal,Strong Republican,Republican candidate,No,,9.641,28.686,30.974,4,Illegal in most cases,Illegal,Somewhat difficult,Easier than it is now,A small population,Not at all adequate,lightly impacted,2.287,10.498,34.375,6,Increased,Somewhat safer,Strongly agree,Agree,Strongly agree,Agree,1.677,2.406,37.803,2,9,7,2.404,4.295,32.151,3,9,8,Yes,A moderate amount,A great deal,Extremely important,Only if it serves U.S. interests,Somewhat familiar,3.736,11.166,36.801,5,Neutral,Somewhat unfair,Very ineffective,Somewhat biased,Expressing opinions on a political issue,AI application in campaign finance|Expressing opinions on a political issue|A case decided by the U.S. Supreme Court|Immigration policy and law enforcement,68110d43-2c4b-9009-ca8b-c26cba046d31,95014,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Online|G3-Express|G3-Backlash|Q129,G4-6L3C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T1|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
100,226,TRUE,41.7829,-72.3319,EN,1,Yes,Female,,1949,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Retired,"$25,000-$49,999",Connecticut,Rural,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Youtube,,Moderate,Independent,Democratic candidate,No,,2.711,8.963,30.801,6,Legal  in all cases,Legal,Somewhat easy,About what it is now,A moderate population,Somewhat adequate,Somewhat,1.509,6.65,31.203,7,About the same,About the same,Agree,Agree,Agree,Agree,1.38,2.284,31.001,2,8,8,1.381,6.794,31.3,4,8,8,No,A moderate amount,Some,Somewhat important,Only if it serves U.S. interests,Somewhat familiar,2.166,7.36,31.256,4,Somewhat reliable,Somewhat fair,Somewhat effective,Somewhat unbiased,A case decided by the U.S. Supreme Court,AI application in campaign finance|A case decided by the U.S. Supreme Court|Expressing opinions on a political issue|Immigration policy and law enforcement,68110daa-43f8-4336-4c81-d773c41a93be,06247,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-StudentOrg|G3-Express|G3-Backlash|Q129,G4-4L4C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T3|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
100,295,TRUE,36.3265,-115.3398,EN,1,Yes,Male,,1951,White,Not Hispanic or Latino,Associates or technical degree,Retired,"$25,000-$49,999",Nevada,Rural,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Youtube,,Moderate,Democrat,Democratic candidate,No,,3.329,13.332,34.233,4,Legal in most cases,Not sure,Somewhat difficult,About what it is now,A moderate population,Neither adequate nor inadequate,Somewhat,3.996,16.299,32.407,6,Increased,Somewhat safer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,5.661,7.538,32.003,2,7,7,3.877,12.709,32.108,3,8,8,Yes,A moderate amount,Some,Somewhat important,Only if it serves U.S. interests,Somewhat familiar,1.871,6.016,31.751,4,Neutral,Neutral,Neutral,Neutral,Immigration policy and law enforcement,AI application in campaign finance|Immigration policy and law enforcement|Expressing opinions on a political issue|A case decided by the U.S. Supreme Court,68110dab-b068-77e1-1a47-50724c320222,89166,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-StudentOrg|G3-Express|G3-Backlash|Q129,G4-1L8C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T2|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
100,377,TRUE,35.8218,-84.048,EN,0.8999999761581421,Yes,Male,,1952,White,Not Hispanic or Latino,Associates or technical degree,Retired,"$75,000-$99,999",Tennessee,Rural,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,X (twitter),,Somewhat Conservative,Lean Republican,Republican candidate,No,,1.21,53.556,54.401,68,Illegal in most cases,Legal,Somewhat easy,About what it is now,A small population,Somewhat adequate,Significantly impacted,1.237,47.63,48.699,66,Decreased,Somewhat safer,Strongly disagree,Strongly disagree,Agree,Strongly disagree,1.374,30.554,33.755,29,8,2,1.053,50.267,51.331,62,10-Most Fair,6,No,Not too much,None at all,Not important at all,Only if it serves U.S. interests,"Heard of it, but don’t know much",1.096,27.376,34.043,38,Very unreliable,Very unreliableVery unfair,Very ineffective,Extremely biased,AI application in campaign finance,A case decided by the U.S. Supreme Court|Immigration policy and law enforcement|AI application in campaign finance|Expressing opinions on a political issue,68110d6f-c35f-417b-2c12-7627241ce690,37865,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Family|G3-Express|G3-Backlash|Q129,G4-3L6C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-NormativePolicyPr|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
100,442,TRUE,30.1024,-95.2297,EN,0.800000012,Yes,Female,,1990,Black or African American,Not Hispanic or Latino,"Some college, but no degree",Working full-time,"$50,000-$74,999",Texas,Urban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Instagram,,Moderate,Independent,Republican candidate,No,,3.9,14.42,80.311,4,Legal  in all cases,Legal,Very difficult,Easier than it is now,A large population,Somewhat adequate,lightly impacted,3.157,14.157,91.435,6,Increased,Much more dangerous,Agree,Agree,Agree,Agree,2.808,119.872,120.122,3,8,9,11.548,14.266,34.798,3,6,7,Yes,Not too much,Some,Extremely important,Only if it serves U.S. interests,Somewhat familiar,2.653,5.893,36.144,4,Somewhat reliable,Somewhat fair,Neutral,Neutral,AI application in campaign finance,AI application in campaign finance|A case decided by the U.S. Supreme Court|Immigration policy and law enforcement|Expressing opinions on a political issue,68110d43-f094-aec0-dc13-f37d0fddea10,77338,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-InClass|G3-Express|G3-Backlash|Q129,G4-8L1C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T1|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
100,300,TRUE,33.2409,-111.7792,EN,0.8999999761581421,Yes,Male,,1952,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Retired,"$25,000-$49,999",Arizona,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,None,,Moderate,Independent,Democratic candidate,No,,0.925,31.523,33.329,15,Legal  in all cases,Legal,Somewhat easy,About what it is now,A moderate population,Somewhat adequate,Not at all,1.383,41.519,42.782,16,About the same,About the same,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,12.323,18.948,31.699,6,8,8,0.881,45.046,45.9,12,10-Most Fair,10-Completely trust,No,A moderate amount,Some,Extremely important,"Yes, even without direct U.S. interest",Somewhat familiar,5.583,31.135,31.148,13,Somewhat unreliable,Somewhat fair,Somewhat effective,Neutral,AI application in campaign finance,A case decided by the U.S. Supreme Court|Expressing opinions on a political issue|Immigration policy and law enforcement|AI application in campaign finance,68110e00-b4fd-3dcd-ec56-e81934a601f9,85048,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Online|G3-Express|G3-Backlash|Q129,G4-8L1C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-NormativePolicyPr|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
100,582,TRUE,40.6844,-73.4814,EN,0.8999999761581421,Yes,Female,,1947,White,Not Hispanic or Latino,Bachelor’s degree,Retired,"$100,000-$149,999",New York,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Others(Please specify),NextDoor,Moderate,Independent,Democratic candidate,No,,41.368,66.87,69.096,8,Legal  in all cases,Legal,Somewhat easy,Easier than it is now,A small population,Somewhat adequate,Somewhat,24.239,45.602,46.082,10,About the same,About the same,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,13.556,31.911,33.026,7,8,9,40.118,56.19,57.337,6,10-Most Fair,3,Yes,A moderate amount,Some,Extremely important,"Yes, even without direct U.S. interest","Heard of it, but don’t know much",16.451,35.481,35.7,10,Somewhat reliable,Somewhat fair,Neutral,Somewhat unbiased,AI application in campaign finance,A case decided by the U.S. Supreme Court|AI application in campaign finance|Immigration policy and law enforcement|Expressing opinions on a political issue,68110d52-4e7a-793f-3b9d-4b0a16da29be,11758,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Family|G3-Express|G3-Backlash|Q129,G4-6L3C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T3|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
100,515,TRUE,30.4404,-88.7801,EN,0.5,Yes,Female,,1953,White,Not Hispanic or Latino,Associates or technical degree,Retired,Prefer not to say,Mississippi,Rural,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Moderate,Independent,Neither - did not vote/voted for an independent candidate,No,,1.216,74.854,76.946,19,Illegal in most cases,Legal,Very difficult,Easier than it is now,A moderate population,Neither adequate nor inadequate,Somewhat,1.391,77.054,77.828,20,About the same,About the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,7.94,28.312,31.338,17,6,2,5.934,50.736,51.337,25,10-Most Fair,7,Yes,A moderate amount,Some,Very important,Unsure,Never heard of it,6.628,62.52,63.268,16,Neutral,Neutral,Somewhat ineffective,Neutral,AI application in campaign finance,Immigration policy and law enforcement|Expressing opinions on a political issue|A case decided by the U.S. Supreme Court|AI application in campaign finance,68110d9d-5185-af2f-f24d-057645dc964b,39563,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Friends|G3-Express|G3-Backlash|Q129,G4-3L6C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-NormativePolicyPr|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
100,368,TRUE,38.6646,-90.5758,EN,0.8999999761581421,Yes,Male,,1960,White,Not Hispanic or Latino,High school diploma or GED,Other,"Less than $25,000",Minnesota,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Youtube,,Very Concservative,Independent,Neither - did not vote/voted for an independent candidate,No,,0.941,35.971,36.711,17,Illegal in all cases,Illegal,Somewhat easy,Harder than it is now,A very large population,Not at all adequate,Extremely impacted,1.255,43.955,44.4,23,Decreased,Much more safer,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2.398,27.636,31.299,13,10 -Very Likely,10 -Very Likely,9.282,65.884,67.364,27,10-Most Fair,1-Not trust at all,No,Not at all,None at all,Not important at all,"No, the U.S. should stay out",Never heard of it,1.954,16.849,31.296,14,Very unreliable,Very unreliableVery unfair,Very ineffective,Extremely biased,AI application in campaign finance,A case decided by the U.S. Supreme Court|AI application in campaign finance|Immigration policy and law enforcement|Expressing opinions on a political issue,68110e45-6c26-26b9-4173-1548579d62da,58078,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Family|G3-Express|G3-Backlash|Q129,G4-4L4C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T2|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
